Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,LAA,AL,162,98,64,.605,L 3,4.8,3.9,0.9,0.1,1.0,96-66,2,12-8,52-29,46-35,10-7,27-22,70-44,28-20,41-43,57-21,3-7,11-9,19-11
2,WSN,NL,162,96,66,.593,W 2,4.2,3.4,0.8,-0.2,0.7,97-65,-1,10-10,51-30,45-36,8-9,26-22,68-49,28-17,23-23,73-43,8-2,15-5,21-9
3,BAL,AL,162,96,66,.593,W 1,4.4,3.7,0.7,0.1,0.8,94-68,2,12-8,50-31,46-35,14-6,32-23,74-47,22-19,51-40,45-26,4-6,13-7,20-10
4,LAD,NL,162,94,68,.580,W 5,4.4,3.8,0.6,-0.2,0.4,92-70,2,11-9,45-36,49-32,6-12,25-20,68-52,26-16,26-33,68-35,8-2,14-6,20-10
5,DET,AL,162,90,72,.556,W 1,4.7,4.4,0.3,0.0,0.4,86-76,4,12-8,45-36,45-36,6-6,23-20,62-50,28-22,49-39,41-33,6-4,13-7,18-12
6,STL,NL,162,90,72,.556,W 1,3.8,3.7,0.1,-0.2,-0.1,83-79,7,8-12,51-30,39-42,7-6,32-23,69-54,21-18,39-33,51-39,6-4,12-8,19-11
7,KCR,AL,162,89,73,.549,W 1,4.0,3.9,0.2,0.1,0.2,84-78,5,15-5,42-39,47-34,5-7,22-25,65-52,24-21,44-45,45-28,6-4,10-10,15-15
8,PIT,NL,162,88,74,.543,L 2,4.2,3.9,0.3,-0.2,0.1,87-75,1,11-9,51-30,37-44,8-7,31-29,68-61,20-13,33-39,55-35,6-4,14-6,20-10
9,OAK,AL,162,88,74,.543,W 1,4.5,3.5,1.0,0.1,1.1,99-63,-11,13-7,48-33,40-41,13-8,21-28,64-49,24-25,44-40,44-34,5-5,8-12,10-20
10,SFG,NL,162,88,74,.543,W 2,4.1,3.8,0.3,-0.2,0.1,87-75,1,10-10,45-36,43-38,9-4,18-22,58-44,30-30,27-31,61-43,4-6,10-10,18-12
11,SEA,AL,162,87,75,.537,W 4,3.9,3.4,0.5,0.2,0.7,91-71,-4,9-11,41-40,46-35,4-7,18-27,55-52,32-23,45-35,42-40,5-5,9-11,15-15
12,CLE,AL,162,85,77,.525,W 1,4.1,4.0,0.1,0.1,0.1,83-79,2,10-10,48-33,37-44,13-8,25-21,60-52,25-25,36-47,49-30,6-4,10-10,17-13
13,NYY,AL,162,84,78,.518,W 1,3.9,4.1,-0.2,0.1,0.0,77-85,7,13-7,43-38,41-40,7-7,28-24,60-58,24-20,41-45,43-33,6-4,11-9,15-15
14,TOR,AL,162,83,79,.512,L 1,4.5,4.2,0.2,0.1,0.3,85-77,-2,13-7,46-35,37-44,5-8,15-20,63-60,20-19,41-47,42-32,6-4,10-10,17-13
15,MIL,NL,162,82,80,.506,L 1,4.0,4.1,0.0,-0.2,-0.2,80-82,2,11-9,42-39,40-41,7-6,23-19,60-62,22-18,33-33,49-47,3-7,8-12,9-21
16,ATL,NL,162,79,83,.488,W 2,3.5,3.7,-0.1,-0.1,-0.2,78-84,1,7-13,42-39,37-44,7-10,25-28,60-68,19-15,28-34,51-49,3-7,5-15,11-19
17,NYM,NL,162,79,83,.488,W 2,3.9,3.8,0.1,-0.1,0.0,82-80,-3,11-9,40-41,39-42,7-8,26-29,62-67,17-16,24-43,55-40,6-4,12-8,17-13
18,SDP,NL,162,77,85,.475,L 2,3.3,3.6,-0.3,-0.2,-0.4,75-87,2,9-11,48-33,29-52,10-5,33-21,58-64,19-21,35-42,42-43,6-4,11-9,15-15
19,MIA,NL,162,77,85,.475,L 2,4.0,4.2,-0.2,-0.1,-0.3,78-84,-1,13-7,42-39,35-46,9-12,35-29,57-69,20-16,25-35,52-50,3-7,7-13,12-18
20,TBR,AL,162,77,85,.475,L 1,3.8,3.9,-0.1,0.1,0.1,79-83,-2,10-10,36-45,41-40,8-10,25-23,57-61,20-24,47-59,30-26,3-7,9-11,13-17
21,CIN,NL,162,76,86,.469,W 2,3.7,3.8,-0.1,-0.1,-0.3,79-83,-3,6-14,44-37,32-49,4-9,22-38,59-69,17-17,45-45,31-41,5-5,9-11,13-17
22,CHW,AL,162,73,89,.451,L 1,4.1,4.7,-0.6,0.1,-0.5,71-91,2,11-9,40-41,33-48,6-8,28-24,51-66,22-23,45-59,28-30,4-6,10-10,13-17
23,PHI,NL,162,73,89,.451,L 2,3.8,4.2,-0.4,0.0,-0.4,73-89,0,7-13,37-44,36-45,10-11,28-27,50-67,23-22,28-40,45-49,3-7,7-13,13-17
24,CHC,NL,162,73,89,.451,W 1,3.8,4.4,-0.6,-0.1,-0.7,71-91,2,9-11,41-40,32-49,8-10,19-21,57-71,16-18,37-50,36-39,5-5,9-11,14-16
25,BOS,AL,162,71,91,.438,L 1,3.9,4.4,-0.5,0.2,-0.3,72-90,-1,9-11,34-47,37-44,10-11,28-28,49-64,22-27,38-68,33-23,5-5,8-12,13-17
26,HOU,AL,162,70,92,.432,L 2,3.9,4.5,-0.6,0.3,-0.3,71-91,-1,5-15,38-43,32-49,6-5,17-28,49-66,21-26,43-58,27-34,3-7,8-12,15-15
27,MIN,AL,162,70,92,.432,L 1,4.4,4.8,-0.4,0.1,-0.3,75-87,-5,9-11,35-46,35-46,6-7,21-24,46-60,24-32,44-64,26-28,5-5,9-11,12-18
28,TEX,AL,162,67,95,.414,L 1,3.9,4.8,-0.8,0.3,-0.5,67-95,0,10-10,33-48,34-47,2-5,25-22,45-66,22-29,37-63,30-32,7-3,14-6,15-15
29,COL,NL,162,66,96,.407,L 4,4.7,5.0,-0.4,-0.2,-0.6,75-87,-9,7-13,45-36,21-60,7-7,20-24,43-73,23-23,22-51,44-45,5-5,8-12,13-17
30,ARI,NL,162,64,98,.395,L 1,3.8,4.6,-0.8,-0.1,-0.9,67-95,-3,7-13,33-48,31-50,10-6,23-30,49-73,15-25,21-54,43-44,2-8,5-15,9-21
,Avg,,,81,81,.500,,4.1,4.1,,,,81-80,,10-10,42-38,38-42,7-7,24-24,58-59,22-21,36-44,44-36,4-5,9-10,15-14
